score,title,author,date,comment
2,Organic Seaweed Snacks Review,"Heather-christina H.,",20-Dec-18,"Being a person that doesn't really like seafood, I should've known that I wouldn't have liked this product. Had a very fishy taste. Would recommend to individuals that live seafood and an ocean's taste but not for those who hate it"
2,Organic Seaweed Snacks Review,"Kristen E.,",22-Jan-19,"I thought trying flavored seaweed might make me enjoy it more, but nope. I just can't get into the taste of these. If you like seaweed products, you will enjoy, but I did not."
2,Organic Seaweed Snacks Review,"Laura H.,",07-Dec-18,"It wasn't that great. Had a weird taste to it. I doubt I will try the other flavors. The texture was off putting to me, too. ................................"
2,Organic Seaweed Snacks Review,"Trina T.,",11-Nov-18,"Not really my cup of ""tea"" persay, I have been trying some organic foods here and there. Some I liked and some I did not. This was one of my dislikes, I don't know if it was that it was made from seaweed or the actual taste."
2,Organic Seaweed Snacks Review,"Kristi C.,",28-Feb-19,"It was okay, nothing special...tasted fishy to my like it came right out of the sea.... it was extra salty too.. def would not be my choice if I got to choose"
2,Organic Seaweed Snacks Review,"Kelly H.,",05-Jan-19,"I did like these snacks, although the taste is just a little too different for my liking. I might purchase something from this company, although would not purchase the seaweed snack again."
1,Organic Seaweed Snacks Review,"Melissa R.,",10-Feb-19,I didn't think they were very good I didn't like the texture or flavor. Too salty. I wouldn't recommend this product. But my granddaughter liked them. So go figure!
1,Organic Seaweed Snacks Review,"Sarah D.,",31-Oct-18,"Unfortunately I am not a fan of these snacks. I love that they are healthy for my family, however no one liked them. Thank you so much for the opportunity."
1,Organic Seaweed Snacks Review,"Maranda P.,",06-Dec-18,I have eaten nori on sushi wraps but I guess ive never had seaweed snacks before. These were tough to out down. Had a spoiled fish flavor that I could not get past. Maybe thats just me though.
1,Organic Seaweed Snacks Review,"Linda L.,",16-Nov-18,The seaweed snacks taste good but hard as heck to find in my area I wish more stores near me had the products. Was very frustrating trying to find them
2,Organic Seaweed Snacks Review,"Stephanie B.,",11-Mar-19,"I have been searching for healthier snacks for the kids, but I think the texture was the first turn off. I didn't really find the taste very appealing. Maybe I can test other flavors in the future."
1,Organic Seaweed Snacks Review,"Jessica M.,",04-Nov-18,"I didn't know what to expect from these sea salt seaweed snacks,but now that I've tasted them,I wont do it again. I couldn't. I had to spit it out. These seaweed snacks are very light and flaky but do not taste good to me."
1,Organic Seaweed Snacks Review,"Jennifer V.,",06-Dec-18,"The ""bacon"" taste was the aftertaste, nothing like I expected. I was hoping for something to mask SOME of the seaweed taste but when I did get the ""bacon"" taste it was just a salty smokey flavor. It was ok, but not bacon."
1,Organic Seaweed Snacks Review,"Samantha C.,",23-Jan-19,i am not a fan of seaweed so i figured this might be different however i was not convinced. i did not like the texture or the flavor. i was a bit disappointed
2,Organic Seaweed Snacks Review,"chris C.,",26-Nov-18,We did not like it at all. It tasted like chili lime flavored fish. This was the worst thing I have ever attempted to eat. I am not sure if another flavor would be better or worse
1,Organic Seaweed Snacks Review,"Amy N.,",12-Nov-18,I didn't like these at all! They taste like fish which I do not like. I was hopeful the sriracha flavor would help but it does not. I like the nutritional info and the packaging. I just wish it tasted better.
2,Organic Seaweed Snacks Review,"Terri M.,",11-Nov-18,Not crazy about these. They may be healthy but not a fan. I could eat these if I had to but would choose other snacks first over these. Maybe I'll try another flavor and see if my opinion changes.
2,Organic Seaweed Snacks Review,"Aleksandra C.,",17-Feb-19,The taste of seaweed on its own was just too overpowering. It was a low calorie snack but not something I would ready for regularly. It was also very hard to find this at different stores.
2,Organic Seaweed Snacks Review,"Pamela M.,",05-Dec-18,I am just not a fan at all. I didn't like the flavor at all. I tried to get past the initial shock of what I was trying but it didn't make things any better. I am glad I got to try it for free but I don't think that I will be purchasing anymore.
2,Organic Seaweed Snacks Review,"Tracie D.,",07-Dec-18,I was offered a sample to try It wasn't for me but probably other people might like it I just didn't like that taste nothing really to do with the product itself
2,Organic Seaweed Snacks Review,"Denise D.,",07-Dec-18,"I chose the sea salt flavor because it sounded like it would be the best tasting, but myself and my family wasn't to fond of the texture. So now I'm going to try another Halo product."
2,Organic Seaweed Snacks Review,"Le'Sandra S.,",13-Jan-19,Was willing to try something new. It just wasn't for me. I couldn't get over the aftertaste. Not terrible but wouldn't do it again. I tried the bacon flavor.
2,Organic Seaweed Snacks Review,"Alicia M.,",12-Nov-18,This is very likely to be blamed on the flavor. I was only able to find Sea Salt which really didn't mask any of the seaweed flavor for me. I would be willing to give it another go if I can find a better flavor.
2,Organic Seaweed Snacks Review,"Alesha A.,",25-Jan-19,I think I might have been expecting something a little different. The Taste was terrible. It was more like taking I'm outside vitamin then having a snack.
2,Organic Seaweed Snacks Review,"sweety P.,",15-Dec-18,I tried Sea Salt flavor... but it has a little taste that I didn't find pleasant... These just a very thin paper like sheets.... hence not filling like any other snack... I would like to try Sriracha or Wasabi flavor...
2,Organic Seaweed Snacks Review,"Ellery B.,",21-Nov-18,"This was not my cup of tea. I love all the aspects of this product, but am not a fan of the taste. This is definitely an acquired taste. If you like to try new things, this a very fun product to try."
1,Organic Seaweed Snacks Review,"Christine T.,",25-Nov-18,I'm still trying to get this taste out of my mouth. It was fishy and overwhelming. This is not something that I would buy again or recommend to others.
2,Organic Seaweed Snacks Review,"Lisa T.,",09-Jan-19,"It was very expensive but I still tried it! After trying it, the flavor wasn't very strong and I couldn't really taste it. I'd just as same use water."
2,Organic Seaweed Snacks Review,"Jessica P.,",19-Nov-18,"The lime flavor just wasnt for me. It didn't particularly care for the texture either. They were different and it was great to get the opportunity to try them. However, they just aren't for me."
2,Organic Seaweed Snacks Review,"April M.,",23-Nov-18,i got these today and chose the bacon flavor. i have to say they were kind of strange and we didnt really like them. they were real salty which we usually like but these arent for us.
2,Organic Seaweed Snacks Review,"Yvonne A.,",06-Dec-18,I honestly I really didnt like it at all the texture was fine but the taste is not for me. So í won't be buying it again. Maybe the noodle bowls are better.
1,Organic Seaweed Snacks Review,"Melissa A.,",29-Nov-18,"I had high hopes for these seaweed snacks, but unfortunately they didn't live up to my expectations. With this being said, I am sure others would enjoy them. They just weren't for me."
2,Organic Seaweed Snacks Review,"Sara W.,",21-Jan-19,"Not a big fan of the way this product tastes. I had high hopes, but this product just did not impress me. I will probably try other products by this brand."
2,Organic Seaweed Snacks Review,"RACHEL F.,",08-Feb-19,I didn't like the seaweed at all. It tasted to me like rotten fish... I really wanted to like it too. I honestly wouldn't ever buy this and am glad i had a free sample first. I might try their other products.
1,Organic Seaweed Snacks Review,"Johnette G.,",08-Jan-19,"I am always looking for ways to curb snaking during the day. I was excited to try the Ocean's Halo Organic Seaweed Snacks, but for me they were not what I expected. It is definitely an acquired taste."
2,Organic Seaweed Snacks Review,"Stephen H.,",12-Jan-19,"Perhaps because there products do not move very rapidly I may have gotten one that was a bit stale, but I was not impressed with it. It had a rather non-descriptor flavor and texture. I personally would not go out of my way to try another one."
2,Organic Seaweed Snacks Review,"Zuly T.,",10-Nov-18,I did not like this stuff at all made me gag But my friends really enjoyed them and even got a few more packs they really enjoyed the bacon Flavored ones and they got a couple more packets
2,Organic Seaweed Snacks Review,"Christina H.,",17-Feb-19,I didn't purchase this product. I used all my coupons on the noodle bowls and the broth. I am not a huge seaweed fan and wanted to try the other products in this brand more than the seaweed snacks.
1,Organic Seaweed Snacks Review,"Tsvetelina M.,",05-Jan-19,"I tried Halo Ramen Noodle Bowl. For the price I was expecting a tasty lunch. The noodles came out hard, and the broth was bland. I would certainly not buy the product again."
2,Organic Seaweed Snacks Review,"Noelle L.,",22-Nov-18,I'm a big fan of Ocean's Halo but not so much of the seaweed snack. With me it may be a mind over matter type of deal but I didn't like the taste or texture of these snacks
1,Organic Seaweed Snacks Review,"Tabitha R.,",31-Oct-18,Nasty nasty nasty lol If it's up ur alley then u good If not don't waste the $$$ or time It was a good try tho the sample was I gave my coupons to the neighbors
2,Organic Seaweed Snacks Review,"Alexandra G.,",10-Nov-18,"Very powerful flavor with the salt snack, they only had bacon flavor or salt. I thought they were a bit too mushy when you bit into them - I expected them to be more like kale ships."
1,Organic Seaweed Snacks Review,"Jamie B.,",25-Feb-19,I was not a fan of the organic seaweed snacks by Ocean's Halo. The packaging was colorful and attractive but the product was just not enjoyable. It had a very fishy taste and smell and left a very unpleasant aftertaste in my mouth.
1,Organic Seaweed Snacks Review,"Wanda(Lacey) H.,",18-Dec-18,This stuff is NASTY!! I couldn't get past the smell hardly!! There is no way I could or would recommend this product to anyone. I was completely surprised at how awful it was! I am truly sorry that I couldn't find anything positive to say about it.
1,Organic Seaweed Snacks Review,"Marian B.,",07-Jan-19,i did not care for it and i personally will not buy again. maybe you might like it but my taste buds did not. i like natural products but not this one.
2,Organic Seaweed Snacks Review,"Debbie Q.,",25-Nov-18,While out shopping for the Halo seaweed snacks I went to two stores and did not find the product. I was looking forward to trying a healthy snack. I did try there thai coconut broth. I made a lo mein with it. Better flavor than soy sauce.
2,Organic Seaweed Snacks Review,"Michele W.,",16-Dec-18,I was not thrilled on the flavor of the sea salt seaweed chips. They were a little more bitter than I personally could stand. I think I may try another flavor like the Korean BBQ next.
1,Organic Seaweed Snacks Review,"Shelly N.,",08-Jan-19,Not great. very fishy tasting and flavoring (bacon) was a dusting of powder. Was really unpleasant. I really like most all their other products.
1,Organic Seaweed Snacks Review,"Christina F.,",16-Dec-18,I really wasn't crazy about the texture or the flavor. Sorry. I would not recommend it to family members or friends. I usually like everything too.
1,Organic Seaweed Snacks Review,"Mary L.,",28-Dec-18,This product was not for my family but im sure that your family would love it. I dont really have anything else to say about this product thanks
1,Organic Seaweed Snacks Review,"Carina S.,",06-Dec-18,Definitely did not like this product I'm not sure if I eat the right way but the texture and the smell and even the taste were not good at all
1,Organic Seaweed Snacks Review,"Nikki W.,",11-Nov-18,Didn't like them too much they are not for me I guess everyone has their diff opinions and me for sure didnt like them at all I won't buy them
1,Organic Seaweed Snacks Review,"Tristan G.,",25-Nov-18,Not what I was expecting. Didn't taste good. Tasted like what fish food smells like. It's not very good at all. It's for a not picky eater..
1,Organic Seaweed Snacks Review,"Hannah T.,",24-Feb-19,0/10 would not recommend. Not great tasting at all. Will try other Ocean's Halp products in the future but I will not buy these ever again. .
2,Organic Seaweed Snacks Review,"Carina S.,",25-Oct-18,I was not a fan of the taste of this product was a little too much I don't think I would buy this product again
