score,title,author,date,comment
3,Organic Seaweed Snacks Review,"Lavonne A.,",08-Jan-19,The only reason I am not giving a higher rating is my store only carried the chili lime flavor. I am not the biggest fan of that one. I prefer the Sea Salt option. This was a good snack. They are easy to toss in your lunch bag for on a salad or just to eat alone. I prefer to use them in salads. The lime flavor comes through on this chili lime one. On the sea salt ones I like the saltiness of them.
3,Organic Seaweed Snacks Review,"Lorraine G.,",15-Nov-18,I thought that it was a good snack. Not the best since it had an after taste. It's good for when you need a quick snack on the go and you're hungry. I would recommend to those who enjoy eating healthy and don't mind the after taste. It is missing something but I'm not exactly sure what that is.
3,Organic Seaweed Snacks Review,"Brooke A.,",27-Nov-18,I'm not a big fan or nori snacks but I do like it in sushi. This wasn't terrible but Inalso didn't love it either. I did like the saltyness and the crunch but I just couldn't get I've the string nori taste. I'm sore if the store I got it from had other flavors it would have been better. I would try another flavor.
2,Organic Seaweed Snacks Review,"Eileen T.,",30-Nov-18,I tried the Sea Salt Halo Seaweed Snacks. I did not like anything about the Seaweed Snacks. They were as thin a piece of paper. At first it just had a strong spinach like taste with salt. Then as you chewed it and it softened up a strong fishy taste emerged. Yuk! I never had any type of fish taste this fishy.
1,BARF!!!,"steve,",28-Jan-19,Don't listen to the others unless you like the taste of rotting fish. I had a tiny bite and almost barfed. My dogs wouldn't eat it at first then they did but they like whitefish dog food so maybe that's why I highly recommend not eating it but pranking friends into eating it.
2,Organic Seaweed Snacks Review,"Delta B.,",25-Nov-18,"I didn't like the texture or the taste that much. I tried other products like this in the past and I know it all natural and organic so I try to make myself like these types of products and I'm just not into it. What I mean by ""these types of products,"" is knowing that I'm actually eating seaweed. I've tried 2 other seaweed organic products sort of like HALO, but I can't get past the fact that its seaweed. I love organic items though, they're my favorite products because I know that there's no chemicals or pesticides and other added substances to make a product better tasting, but in all reality, it's not good for you. I love organic, but I will eat non-organic items as long as I read the ingredients and it's favorable to me. I will literally read every ingredient and the amount of vitamins, minerals, sugars, cholesterol, fats, etc in items that are new to me. I love trying new things, but I have to say I didn't necessarily enjoyed eating this. I didn't use the buy one get one coupons that were sent because I haven't used them yet. I intend to because it looks like there are different HALO products to try other than the seaweed one. I'm just giving my honest feedback, but others might enjoy this product. Thank you for letting me try this for free and the additional coupons that will be used in the future."
3,Organic Seaweed Snacks Review,"Zandra L.,",05-Dec-18,"Wasn't a fan of the Ocean's Halo Organic Seaweed Snacks. I tried the bacon flavor and didn't notice any bacon taste whatsoever. I did like that these are a healthy and very affordable, organic snack alternative, however, I really dislike seafood and these taste very fishy to me, as do most seaweed products. If you enjoy seaweed foods though, I think these may be a great snack for you, but they were a pass for me!"
3,Organic Seaweed Snacks Review,"Randi N.,",26-Nov-18,"I wish I could have tried something other than sea salt because it ended up being too salty for me to enjoy. I figured since I like sushi that the nori snacks would also be as tasty, and perhaps the other flavors are but my store only had the sea salt ones and I wasn't a fan, but my fiance liked them."
1,Organic Seaweed Snacks Review,"Crystal F.,",13-Jan-19,Organic Seaweed Snacks were not for me. I was hoping i would like it so i could include something naturally high in iodine into my diet but unfortunately i couldnt do it. Neither of my kids would eat it either... I have never had seaweed so it isnt the brand it is just the taste of seaweed.
3,Organic Seaweed Snacks Review,"Lisa C.,",15-Nov-18,"I tried the bacon flavor. It tasted like regular seaweed snacks that I've had before with a mild bacon flavor. Not bad, but I looked at the ingredients AFTER I tried it & I found maltodextrin listed. Not what I want to see in what is supposed to be a healthy snack! Next time I try another flavor."
2,Organic Seaweed Snacks Review,"AMBER G.,",29-Nov-18,"I'd never tried anything like this before. I was rather skeptical at first, I didn't know how I'd feel about eating green seaweed lol. But I wanted to try these. I wasn't crazy about the texture, but the flavor wasn't bad. Although I appreciate the opportunity, I doubt I'll be buying these for myself any time soom."
3,Organic Seaweed Snacks Review,"brandy A.,",15-Nov-18,"I thought the product was pretty good but I just couldn't get into it being a food for me on the regular., I did however think that the value of this product was really good and I don't think that people are going to be disappointed if they are into this kind of product.. I will however definitely tell my friends and family about it and let them check it out themselves..."
3,Organic Seaweed Snacks Review,"Kelly K.,",14-Nov-18,I was really hoping to try the bacon flavor but I was only able to find the Sea salt in my local store. And to be honest it was a bit to salty. They might be better if you have them with something else. But they are to salty by themselves. I did like the underlining flavor of the seaweed. I intend to check other stores for the other flavors to try.
3,Organic Seaweed Snacks Review,"Alexis W.,",25-Jan-19,Perhaps I should have have tried a different flavor. I received this product in exchange for my honest review and tried the sea salt flavor. I found the salty flavor a bit too salty and again because it is seaweed perhaps sea salt was not the wisest choice. The texture was good and it was nice and crisp. I may try this product again in the future but I will select a different flavor. #trynatural #gotitfree
1,Organic Seaweed Snacks Review,"karolina P.,",29-Oct-18,I honestly could not find the seaweed snacks in any of the stores located in the flyer. And I even when out of town twice to look for the product and nothing. I ended up with the miso noodle bowl to test out and review and wasnt a fan. It tasted very bland. It was very much tasteless.
2,Organic Seaweed Snacks Review,"Angelle S.,",02-Dec-18,"I love the idea of the brand and the healthy ingredients Ocean Halo uses in their products. However, I personally did not enjoy the Halo seaweed snacks. I shared them with my household, but it was not received well either. I tried the vegan bacon flavor, the texture was interesting, and they sort of melt away in your mouth, but I just did not like the taste at all. They were pretty strong, and I could not get past the first bite. I will try to use them in a Miso soup and see if they will work better to compliment a dish rather than eaten on their own."
1,Organic Seaweed Snacks Review,"Pat P.,",13-Dec-18,"I prepared the Miso Noodle Bowl, the exact way directions stated. Nowhere in the directions did it say when to add the soy. The noodles were not cooked enough at the required time so I cooked longer. The taste was not at all to my liking and i have had Miso soup in restaurants. I couldn't even eat it."
1,Organic Seaweed Snacks Review,"Omaimah G.,",01-Jan-19,"I tried the spicy noodles. The noodles were thick like spaghetti, and I didn't like the flavor of the broth. I was also disappointed by the small package of crushed red pepper ( maybe if it contained a couple of dried Thai peppers, it would have added a little heat)."
3,Organic Seaweed Snacks Review,"heather C.,",06-Dec-18,I really wanted to like the Oceans Halo seaweed snacks. I figured the sea salt is a safe bet. They were just okay. I wasn't overly impressed. I tried them plain and then again added to a salad. They were better when added to my salad. I don't think I would purchase these.
3,Organic Seaweed Snacks Review,"Beth G.,",18-Nov-18,"The texture was very nice, it was very light and airy. I liked the thin crispness. The sea salt flavor was very salty in a really good way. The salt was very good. I would really like these, but I don't like the taste of nori. It tastes really fishy to me. The bacon flavor only seemed to add to the fishyness. The sea salt one starts out tasting really good, but then the salt melts away and if tastes like fish. These are almost good."
3,Organic Seaweed Snacks Review,"Asia G.,",24-Nov-18,"I was expecting something flavorful considering the flavors I've chosen, but I was sadly disappointed. I came into this testing with optimism and positivity, so I could give an open and honest review. It was either bland, not spicy enough, too salty or taste nothing like the flavor I chose. The healthy version of these snacks didn't meet my standards."
3,Organic Seaweed Snacks Review,"natasha B.,",25-Feb-19,I received a free sample of the new Ocean's Halo seaweed snack from #SocialNature to try and it wasn't for me some of my friends liked it and I still told people about them but the taste wasn't something I enjoyed everything is not for everyone I've always wanted to try seaweed for a while so I thought this would be perfect but I just don't like them the texture of them wasn't for me either but like I said but you might love them plus maybe it was just the flavor I got #TryNatural #GotItFree
3,Organic Seaweed Snacks Review,"Dane H.,",06-Dec-18,"We couldn't find many of the Ocean's Halo products, so I'd say that's my biggest negative. We really wanted to try to ramen bowls, but they're not at local grocery stores. (we tried 5 different stores). In the end we ended up just grabbing the seaweed snacks in the Korean BBQ flavor. These aren't a snack I would typically gravitate too, however they did taste decent."
3,Organic Seaweed Snacks Review,"Emily B.,",24-Nov-18,"I didn't really like the texture or taste, but that's probably just because this product wasn't for me. I never really liked seaweed but wanted to try a new flavor. I still didn't really like it. I think others would like it though, if this is something you're into!"
3,Organic Seaweed Snacks Review,"Misty B.,",28-Nov-18,"I bought these seaweed snacks as a healthy snack for my littles and myself. While they were decent in flavor, I just couldn't get past the texture of them. I love seaweed salad and am always willing to try new things, these just weren't for me. I'll pdobably try again and I've already recommended them to a few friends. Love oceans halo and their products!"
2,Organic Seaweed Snacks Review,"Sascha W.,",25-Nov-18,"I tried the Miso Noodle Bowl and I was not impressed. It took a lot longer for the noodles to soften up than the directions suggested. It was bland, not that I expect miso soup to have a ton of flavor, but what flavor this one did have was slightly bitter. When I have miso soup I expect it to be savory and salty, and this just didn't do it for me. Also, it's a lot of packaging, and not much food for the price."
1,Organic Seaweed Snacks Review,"Hollie S.,",27-Nov-18,"I was very curious to try these seaweed snacks. I thought maybe it could be a healthy go to snack. I was wrong. These things taste like your eating dried up fish skin. If you like sushi, you might like these, the taste is similar to the wrap of a sushi roll. It makes a lot of crumbs and just did not impress me."
3,Organic Seaweed Snacks Review,"Chris W.,",10-Nov-18,"We tried the sea salt first.. and my husband was the first to try (we have never had seaweed snacks before) and he was not impressed. His words were it tastes like a fish tank smells.. me personally thought it was pretty grassy. The bacon flavor was a bit better and gave a hit of better that a fish tank. All in all I know some really liked them, and I will recommend others try them out, but for us.. we will pass."
3,Organic Seaweed Snacks Review,"Haru B.,",15-Nov-18,"To start off, the seaweed snack, in general, are not for everyone. Some people just do not like seaweed snacks. I do prefer them and think that these are a very good option. The consistency and flavor are as advertised but a few pieces were stale like for some reason. Overall, this product meets expectations, I would recommend it!"
3,Organic Seaweed Snacks Review,"Jen M.,",08-Nov-18,"I was really excited to try these. This was my first experience trying a seaweed snack, I tried the sea salt flavor. I have to say it wasn't my favorite snack, the texture was a little strange to me and I didn't love the flavor. It has nothing to do with the Brand, seaweed snacks are just not for me!"
2,Organic Seaweed Snacks Review,"Lita N.,",09-Dec-18,"I've tried this product before in a different flavor (Sriracha), this time I tried Sea Salt (it was the only flavor in stock at my local grocery and I'm starting to see why) and I have to say that the flavor that I just tried wasn't exactly great in my opinion. Sure, one should be expecting much from a flavor like Sea Salt when it applies to something like sea weed, but this was by far the saltiest sea weed I've ever tried! I drank over half a bottle of water and still felt parched! I don't recommend eating this on its own. Adding it to ramen or maybe some kind of rice bowl is fine, but if you try to eat it on its own, expect to be chugging down to get the saltiness out of your mouth. The sea weed is very pronounced and is constantly at odds with the equally powerful sea salt flavor. Try it if you dare."
2,Organic Seaweed Snacks Review,"Jami S.,",04-Jan-19,"I am on the fence on Ocean Halo Seaweed Snacks. I got the Sea Salt, and it wasn't what I expected. It tasted better than I thought it would, but it still wasn't something I would eat as a snack everyday. Maybe some of the other flavors would be more flavorful than the Sea Salt. It is a healthy alternative to other snacks, and if I go on a diet I might pick these over an unhealthy snack. Until then, I will keep my current snack."
3,Organic Seaweed Snacks Review,"Sandra G.,",28-Oct-18,I am giving Ocean's Halo seaweed snack 3 stars. The snack is paper thin and pretty much melts on your tongue. It is slightly fishy tasting which was a turn off for me altogether. I will say that I purchased 2 different flavors. The sea salt which was most fishy. Also the bacon which was not quite as fishy and the bacon canceled it out. My son and husband also tried it and they both liked it. My son said it reminded him slightly of sushi which he is also a fan of and I am not. My son preferred the sea salt and my husband preferred the bacon. They would probably give it a 5. In fact while at the store today my son bought 2 more. I guess you will have to try it for yourself. If I had to choose a favorite it would be the bacon.
3,Organic Seaweed Snacks Review,"Abigail V.,",04-Dec-18,"I tried the sea salt seaweed snack, and they sure do have a strong taste! I'd never tried seaweed snacks before, so I wasn't sure what to expect. They definitely have a strong fishy smell and taste, so not for the faint of heart or taste buds. Overall, they were a fun snack to try, but not something that I would purchase again."
1,Organic Seaweed Snacks Review,"Amanda A.,",26-Oct-18,"I didn't like it at all. The seaweed tasted too fishy. As my sister said, "" it tastes like those fish food flakes I would sneak eat when I was a kid."" I couldn't even finish one of the chips. I don't like seafood though, so that may have been a factor in my displeasure."
3,Organic Seaweed Snacks Review,"Cari C.,",15-Nov-18,Wasnt tpp impressee with the halo product. It was the wasabi. Just not something I would get again and eat again. It's actually not a bad price and it's perfect for people who like asian food. I will have to try another product by halo and see if I like it better. Maybe a different flavor. I wouod recommend it to people who like that kind of stuff. I'm glad I tried it though.
3,Organic Seaweed Snacks Review,"Morgan H.,",11-Dec-18,"I got the Texas BBQ flavor, and I'm not sure I liked it. I think it was the texture more than the flavor - because the flavor wasn't too bad! I am not used to seaweed, actually I think this may have been the first time I've eaten it. But I would give it a try again!"
3,Organic Seaweed Snacks Review,"Miranda J.,",26-Oct-18,"These were pretty good. I tried the Korean BBQ flavor and the taste was definitely there- you still get that briny ocean flavor too. These are good for on the go and a great afternoon snack. The texture is really good, it can be difficult to get over the strong oceanic flavor in the background."
3,Organic Seaweed Snacks Review,"Sheena B.,",05-Nov-18,It's a salty snack other than chips. The saltiness is good. The texture is kind of fun. My niece and nephew will eat them. It wasnt my favorite. I thought it had a weird taste. But compared to other healthier salty snacks. I would choose those. I might try another flavor.
